Time,Lambda,Alpha,Stress_Zhao(kPa),Stress_Integrated(kPa),Phase
158,1.036,1,9.34202,193.069,5
159,1.033,1,8.27108,191.724,5
160,1.03,1,7.28175,190.456,5
161,1.027,1,6.36328,189.255,5
162,1.024,1,5.50615,188.11,5
163,1.021,1,4.70192,187.014,5
164,1.018,1,3.94301,185.959,5
165,1.015,1,3.22262,184.938,5
166,1.012,1,2.5346,183.945,5
167,1.009,1,1.87332,182.975,5
168,1.006,1,1.23361,182.022,5
169,1.003,1,0.610674,181.081,5
170,1,1,-3.65841e-15,180.148,5
